"# of nodes","# of edges","MinWeight","MaxWeight","Avg. itr for best chose","Avg. cut for best chose","Avg. itr for first chose","Avg. cut for first chose","# of Itr in GRASP","solution","solution Itr","partition Type in solution"
800,19176,1,1,161.995,11352.9,1.21115,10599.2,1200,11454,400,2
800,19176,1,1,160.969,11352.3,1.16865,10598.4,1200,11497,1033,0
800,19176,1,1,163.958,11344.5,1.20661,10619.3,1200,11459,200,2
800,19176,1,1,163.111,11360.3,1.16221,10630.5,1200,11483,250,2
800,19176,1,1,161.382,11346.8,1.17759,10597.3,1200,11483,1118,1
800,19176,-1,1,166.494,1896.3,1.1648,1150.47,1200,2009,528,0
800,19176,-1,1,166.603,1726.44,1.17763,957.536,1200,1851,1005,2
800,19176,-1,1,172.094,1737.06,1.21559,989.769,1200,1848,888,2
800,19176,-1,1,173.457,1772.55,1.16693,996.868,1200,1891,616,2
800,19176,-1,1,173.355,1727.95,1.1495,1023.23,1200,1850,501,2
800,1600,-1,1,61.7155,441.385,1.10473,296.267,1200,488,3,1
800,1600,-1,1,58.853,433.125,1.13496,273.008,1200,488,31,2
800,1600,-1,1,61.182,455.714,1.11765,305.5,1200,510,31,2
800,4694,1,1,75.3836,2947.48,1.14262,2726.02,1200,2981,690,1
800,4661,1,1,86.3781,2925.71,1.1474,2711.37,1200,2963,751,2
800,4672,1,1,83.9403,2930.37,1.15798,2731.74,1200,2973,813,2
800,4667,1,1,91.577,2927.84,1.16749,2721.03,1200,2966,1128,2
800,4694,-1,1,111.762,839.696,1.14858,534.038,1200,907,789,2
800,4661,-1,1,113.541,754.123,1.14923,446.036,1200,810,250,2
800,4672,-1,1,112.386,782.117,1.13742,497.495,1200,838,572,1
800,4667,-1,1,111.637,778.554,1.14983,467.747,1200,846,390,0
2000,19990,1,1,343.242,12815.5,1.19672,11646.8,1200,12939,640,2
2000,19990,1,1,316.554,12814.6,1.18519,11686.3,1200,12941,1015,2
2000,19990,1,1,334.982,12821.1,1.16102,11651.5,1200,12950,46,2
2000,19990,1,1,334.597,12813.9,1.14035,11723.5,1200,12966,997,2
2000,19990,1,1,326.02,12814.6,1.21717,11654.6,1200,12950,27,2
2000,19990,-1,1,348.171,2813.14,1.1314,1668.17,1200,2931,27,2
2000,19990,-1,1,355.169,2776.59,1.22581,1684.81,1200,2909,713,2
2000,19990,-1,1,358.584,2864.57,1.17253,1710.64,1200,2979,1033,2
2000,19990,-1,1,360.41,2867.72,1.26025,1788.46,1200,3023,226,1
2000,19990,-1,1,358.463,2792.17,1.20139,1665.53,1200,2952,4,1
2000,4000,-1,1,147.042,1107.64,1.11551,729.337,1200,1252,15,2
2000,4000,-1,1,139.11,1075.19,1.09194,756.545,1200,1224,23,2
2000,4000,-1,1,152.351,1073.72,1.06903,767.724,1200,1234,27,0
2000,11778,1,1,203.115,7386.31,1.1567,6882.01,1200,7474,817,2
2000,11766,1,1,202.54,7376.88,1.15385,6834.91,1200,7452,652,2
2000,11785,1,1,209.272,7390.57,1.13158,6878.37,1200,7465,740,2
2000,11779,1,1,214.587,7381.17,1.20169,6840.94,1200,7458,296,0
2000,11778,-1,1,293.692,2027.89,1.15881,1242.84,1200,2140,679,2
2000,11766,-1,1,296.569,2004.07,1.15461,1199.69,1200,2126,846,2
2000,11785,-1,1,290.035,2010.92,1.15101,1252.72,1200,2121,48,0
2000,11779,-1,1,273.732,2093.35,1.16272,1316.76,1200,2195,224,0
1000,9990,1,1,166.714,6398.58,1.21144,5812.18,1200,6483,970,2
1000,9990,1,1,168.525,6396.32,1.20792,5829.22,1200,6515,161,2
1000,9990,1,1,165.426,6397.26,1.14017,5828.61,1200,6480,11,2
1000,9990,1,1,168.438,6401.08,1.19056,5840.64,1200,6503,10,2
1000,9990,1,1,180.703,6400.17,1.18475,5843.93,1200,6499,93,0
3000,6000,1,1,259.607,5237.59,1.10562,4549.84,1200,6000,8,2
3000,6000,1,1,274.081,5221.98,1.09724,4576.44,1200,6000,19,2
3000,6000,1,1,259.151,5221.96,1.11318,4477.99,1200,5880,3,0
1000,5909,1,1,101.706,3701.65,1.15372,3437.86,1200,3749,158,2
1000,5916,1,1,108.313,3705.69,1.14212,3440.89,1200,3756,719,2
1000,5914,1,1,106.589,3699.39,1.2368,3447.94,1200,3745,26,2
1000,5916,1,1,105.739,3700.04,1.15824,3427.6,1200,3739,1,2
