"# of nodes","# of edges","MinWeight","MaxWeight","Itr count for rand","Avg.result for rand","Itr count for greedy","result for greedy","Itr count for semi-greedy","Avg.result for semi-greedy"
800,19176,1,1,143.04,10426.3,47.1314,11330.4,59.6385,11188.5
800,19176,1,1,144.414,10432.1,32,11324.5,61.1189,11196.7
800,19176,1,1,146.031,10446.4,36.7934,11308.7,58.3631,11181.8
800,19176,1,1,146.204,10440.5,28.1875,11343.8,61.9095,11197.4
800,19176,1,1,149.769,10465.1,23.2353,11313.1,60.7368,11192.7
800,19176,-1,1,141.943,915.605,26.9658,1859.4,61.279,1717.02
800,19176,-1,1,142.313,777.148,39.7037,1651.8,60.8704,1556.09
800,19176,-1,1,158.646,855.739,31.2703,1715.21,59.7826,1550.8
800,19176,-1,1,147.911,851.775,32.377,1701.79,56.3712,1590.37
800,19176,-1,1,165.261,903.29,26.6239,1726.69,59.1454,1543.4
800,1600,-1,1,82.6347,225.482,1.46721,486.934,8.81647,429.639
800,1600,-1,1,75.2467,187.664,2.97015,483.94,8.84672,415.956
800,1600,-1,1,81.1366,218.579,1.92035,507.841,9.35645,440.416
800,4694,1,1,82.203,2595.73,14.7886,2947.39,22.0162,2926.33
800,4661,1,1,97.3049,2618.88,23.7907,2921.39,20.2023,2903.48
800,4672,1,1,96.8129,2625.46,21.6541,2915.21,19.1862,2908.76
800,4667,1,1,103.162,2637.88,19.9194,2932.82,19.3914,2902.78
800,4694,-1,1,120.472,430.489,18.271,864.075,31.7085,783.479
800,4661,-1,1,124.817,353.416,17.6299,780.906,32.9031,700.246
800,4672,-1,1,124.812,384.018,16.2308,801.077,31.905,728.076
800,4667,-1,1,119.079,355.405,13.5952,812.071,34.1012,723.81
2000,19990,1,1,327.199,11350.3,43.6667,12838.1,106.722,12578.4
2000,19990,1,1,309.591,11284.4,35.8545,12860.6,113.72,12590.4
2000,19990,1,1,328.544,11362.4,40.5966,12883.9,112.417,12588.8
2000,19990,1,1,321.332,11340.6,31.8857,12885.3,103.145,12576.7
2000,19990,1,1,322.665,11331.2,40.252,12894.6,109.133,12576
2000,19990,-1,1,343.867,1408.9,72.8421,2831.24,117.475,2561.8
2000,19990,-1,1,365.745,1479.42,56.5887,2742.75,112.87,2526.3
2000,19990,-1,1,345.31,1480,48.5472,2819.25,116.675,2624.12
2000,19990,-1,1,343.034,1481.78,42.9515,2799.31,107.188,2612.04
2000,19990,-1,1,362.123,1470.26,75.3448,2805.62,118.448,2548.01
2000,4000,-1,1,199.705,516.992,8.65891,1241.32,20.3517,1062.31
2000,4000,-1,1,202.134,498.512,4.36232,1214.72,21.6658,1031.68
2000,4000,-1,1,241.127,584.37,5.93701,1221.87,22.9085,1033.05
2000,11778,1,1,233.774,6591.07,37.2727,7386.55,46.89,7329.89
2000,11766,1,1,228.844,6571.74,48.5044,7342.02,49.7755,7326.88
2000,11785,1,1,239.814,6618.34,43.3529,7381.55,48.8019,7334.79
2000,11779,1,1,244,6622.56,34.8761,7357.06,51.3361,7334.89
2000,11778,-1,1,323.164,1072.36,42.3333,2092.53,81.8497,1891.98
2000,11766,-1,1,309.299,971.604,25.7379,2081.53,76.9271,1863.01
2000,11785,-1,1,314.497,1027.72,24.5,2087,79.5112,1874.57
2000,11779,-1,1,275.254,969.031,22.9085,2148.07,78.1991,1950.79
1000,9990,1,1,166.618,5686.13,18.1909,6414.39,57.73,6287.34
1000,9990,1,1,163.602,5669.9,25.6557,6409.77,53.7458,6281.32
1000,9990,1,1,166.195,5683.62,15.2692,6452.54,55.8372,6285.7
1000,9990,1,1,168.814,5693.21,26.4583,6460.83,54.1973,6284.42
1000,9990,1,1,183.455,5752.92,25.1579,6381.21,54.3159,6286.76
3000,6000,1,1,391.688,4003.32,1,6000,35.0471,5122.24
3000,6000,1,1,387.898,3991.5,1,6000,31.7641,5143.57
3000,6000,1,1,362.708,3926.39,1,5880,33.9886,5158.46
1000,5909,1,1,113.712,3295.28,30.4643,3699.64,25.9387,3671.79
1000,5916,1,1,124.731,3332.51,28.265,3708.13,26.3892,3677.7
1000,5914,1,1,125.838,3337.91,26.8976,3681.03,25.5956,3673.92
1000,5916,1,1,115.499,3306.51,26.0182,3703.98,23.4812,3671.23
