"# of nodes","# of edges","MinWeight","MaxWeight","Avg. alpha in semi-greedy","Avg. cut in semi-greedy","Avg. Cut in rand","greedy cut"
800,19176,1,1,0.493027,11024.2,9585.46,11226
800,19176,1,1,0.487448,11027.1,9576.69,11251
800,19176,1,1,0.508691,11021.1,9590.8,11223
800,19176,1,1,0.486949,11026.1,9581.87,11288
800,19176,1,1,0.493392,11024.2,9591.64,11249
800,19176,-1,1,0.488675,1543.78,77.6707,1797
800,19176,-1,1,0.509038,1385.18,-73.5783,1553
800,19176,-1,1,0.502924,1380.04,-88.051,1636
800,19176,-1,1,0.500968,1431.92,-36.047,1630
800,19176,-1,1,0.520443,1375.69,-84.6293,1666
800,1600,-1,1,0.487506,413.639,18.9689,486
800,1600,-1,1,0.502212,399.854,-1.09711,480
800,1600,-1,1,0.511097,423.112,14.7377,506
800,4694,1,1,0.514237,2895.41,2347.94,2928
800,4661,1,1,0.482004,2875.61,2328.53,2891
800,4672,1,1,0.514085,2882.38,2335.05,2887
800,4667,1,1,0.497464,2876.5,2333.1,2905
800,4694,-1,1,0.50418,729.918,31.0369,840
800,4661,-1,1,0.513044,644.302,-53.9335,757
800,4672,-1,1,0.493462,674.108,-23.7054,778
800,4667,-1,1,0.501805,666.462,-31.7535,794
2000,19990,1,1,0.489748,12355.8,9990.12,12748
2000,19990,1,1,0.488989,12351.6,9994.84,12786
2000,19990,1,1,0.503397,12353.6,9991.92,12812
2000,19990,1,1,0.511754,12360.7,10002.4,12832
2000,19990,1,1,0.511973,12349.1,9989.91,12819
2000,19990,-1,1,0.49841,2313.63,-23.5101,2708
2000,19990,-1,1,0.505796,2286.66,-56.6147,2636
2000,19990,-1,1,0.486761,2377.34,42.3995,2725
2000,19990,-1,1,0.497209,2385.28,52.9858,2719
2000,19990,-1,1,0.487094,2297.42,-45.6397,2669
2000,4000,-1,1,0.50308,1022.41,11.438,1226
2000,4000,-1,1,0.492676,989.108,-12.825,1208
2000,4000,-1,1,0.48563,987.908,-25.5152,1212
2000,11778,1,1,0.499044,7263.19,5891.85,7335
2000,11766,1,1,0.494159,7256.27,5886.47,7274
2000,11785,1,1,0.50045,7265.04,5893.54,7316
2000,11779,1,1,0.509264,7261.32,5889.64,7308
2000,11778,-1,1,0.487518,1749.61,14.679,2035
2000,11766,-1,1,0.512621,1729.41,-53.2943,2043
2000,11785,-1,1,0.487417,1736.13,-9.82973,2053
2000,11779,-1,1,0.503203,1814.1,63.738,2118
1000,9990,1,1,0.493762,6168,4998.67,6385
1000,9990,1,1,0.503036,6170.41,4993.84,6372
1000,9990,1,1,0.504832,6169.14,4990.39,6424
1000,9990,1,1,0.505204,6172.9,4992.98,6411
1000,9990,1,1,0.487549,6174.71,4994.19,6331
3000,6000,1,1,0.50237,5038.12,3001.06,6000
3000,6000,1,1,0.499198,5067.87,3000.12,6000
3000,6000,1,1,0.50294,5077.23,2998.32,5880
1000,5909,1,1,0.513865,3635.77,2956.65,3660
1000,5916,1,1,0.506038,3640.96,2960.5,3665
1000,5914,1,1,0.505293,3638.09,2958.87,3635
1000,5916,1,1,0.489363,3638.58,2957.47,3665
